"ev_pair","create_time","c","e","h","l","o","s","v","vw","z"
"XA_BTC-USD","63823375562019","30602.28","1687706760000","30604.97","30581.6","30601.1","1687706700000","3.2798317","30594.2695","0"
"XA_BTC-USD","63823375982023","30561.04","1687707180000","30580","30545.2","30570.68","1687707120000","1.8598264","30563.1369","0"
"XA_BTC-USD","63823376042023","30586.31","1687707240000","30586.31","30551.3","30551.3","1687707180000","4.01697967","30564.0566","0"
"XA_BTC-USD","63823395002097","30408.42","1687726200000","30461","30396.1","30461","1687726140000","43.23229505","30425.5782","0"
"XA_BTC-USD","63823395181996","30383.7","1687726380000","30412","30366","30398.24","1687726320000","4.21888151","30385.6509","0"
"XA_BTC-USD","63823395242019","30375.63","1687726440000","30409","30366","30383.71","1687726380000","4.69764645","30384.463","0"
"XA_BTC-USD","63823395302020","30330","1687726500000","30400","30276.3","30378.08","1687726440000","59.28475087","30330.1825","0"
"XA_BTC-USD","63823395361991","30343.5","1687726560000","30356","30250","30335.61","1687726500000","34.91406169","30301.4212","0"
"XA_BTC-USD","63823395422039","30348.08","1687726620000","30381","30325.9","30343.5","1687726560000","11.10316234","30349.1394","0"
"XA_BTC-USD","63823395482045","30364","1687726680000","30391","30334","30365","1687726620000","18.51275277","30348.3599","0"
"XA_BTC-USD","63823395542050","30385.38","1687726740000","30391","30354.1","30367.22","1687726680000","0.60821498","30373.6942","0"